url,type
http://www.bertilohlsson.com/de/component/user/login?return=aHR0cDovL3d3dy5iZXJ0aWxvaGxzc29uLmNvbS9iaWxkZXJnYWxlcmllL2tsYXNzaXNjaGUtZG9zZW4vcnVuZGUtZm9ybT9sYW5nPWRl,defacement
http://www.besztercekk.hu/index.php?option=com_lr&view=stadium&id=1&Itemid=162,defacement
http://www.manganellipalace.it/de/willkommen-bei.html,defacement
http://www.sikobv.eu/nl/component/mailto/index.html?tmpl=component&link=aHR0cDovL3d3dy5zaWtvYnYuZXUvbmwvY29tcG9uZW50L2NvbnRlbnQvYXJ0aWNsZS8yLXZvb3JwYWdpbmEtdGFiLzI0MC1kZWxvLW5ldy1jYXJ0cmlkZ2Utc3lzdGVtLmh0bWw=,defacement
http://midas-medical.com/products/electrocardiographecg/cardio-max-series/cardio-max-cm-03c/index.html,defacement
http://www.kommunalbit.de/index.php?option=com_content&view=section&id=5&Itemid=14,defacement
http://www.galerie-unterm-maulbeerbaum.de/index.php?option=com_content&view=article&id=58&Itemid=57,defacement
http://www.smos.cn/Case.asp?id=14,defacement
http://www.nissad.com/nissad-contact.html,defacement
http://www.whitminsterinn.co.uk/specialevents/calendar-day/03/01/2013,defacement
http://totallifechurchjax.com/index.php?option=com_content&view=article&id=182:may-29-teamwork-episode-07&catid=66:teamwork,defacement
http://www.dolcevino.it/index.php?option=com_contact&view=contact&id=3&Itemid=111,defacement
http://danielfabri.com.ar/mapa-del-sitio/index.html,defacement
http://bjgdhm.com/cn/product.asp?id_code=0007,defacement
http://www.suiteorchestra.it/index.php?option=com_content&view=article&id=91:i-flauti&catid=38:rokstories&lang=it&Itemid=,defacement
http://rendeck.com/index.php/en/services/consultancy/joint-technology-selection,defacement
http://www.qrscelltech.com/de/component/content/article/44-qrs-fuer-leistungsorientierte-menschen?tmpl=component&print=1&page=,defacement
http://www.identcode.cz/cs/laserove-snimace-stacionarni.php,defacement
http://www.cannonvaleautopro.com.au/tools.html,defacement
http://diddydeshi.com/latest-news/2-latest-news/261-speech-given-at-october-main-grading.html,defacement
http://www.natureevent.dk/component/mailto/index.html?tmpl=component&link=aHR0cDovL3d3dy5uYXR1cmVldmVudC5kay9ha3Rpdml0ZXRlci5odG1s,defacement
http://sladkiybuket.net/index.php?page=shop.product_details&category_id=4&flypage=flypage_lite_pdf.tpl&product_id=37&option=com_virtuemart&Itemid=55,defacement
http://www.sklep-splawik.pl/index.php?option=com_content&view=article&id=17:pokaz-maver-2010&catid=7:pokazy-sprztu&Itemid=13,defacement
http://www.latablepaysanne.fr/index.php?option=com_content&view=frontpage&Itemid=12,defacement
http://www.lescoulissesdetanger.com/galeriesmusees,defacement
http://www.akmediaproductions.ca/index.php?option=com_content&view=article&id=53:custom-templates&catid=36:web-development&Itemid=71,defacement
http://www.824555.com/app/member/SportOption.php?uid=guest&langx=gb,malware
http://9779.info/%E5%84%BF%E7%AB%A5%E7%AB%8B%E4%BD%93%E7%BA%B8%E8%B4%B4%E7%94%BB/,malware
http://9779.info/%E6%A0%91%E5%8F%B6%E7%B2%98%E8%B4%B4%E7%94%BB/,malware
http://9779.info/%E5%8F%A4%E4%BB%A3%E4%BA%8C%E5%8D%81%E5%9B%9B%E5%AD%9D%E5%B8%83%E8%B4%B4%E7%94%BB/,malware
http://chinacxyy.com/piccodejs-000.asp?lm2=191&x=3&y=2&w=90&h=63&open=1&n=10&tj=0,malware
http://9779.info/%E6%8A%98%E7%BA%B8%E6%89%87%E5%AD%90%E6%8B%BC%E8%B4%B4%E7%94%BB/,malware
http://portal.dddgaming.com/docs/rules/15022/cn/game_cn.html?amluMjAxNQ%3D%3D,malware
http://9779.info/%E7%AE%80%E5%8D%95%E6%8A%98%E7%BA%B8%E7%B2%98%E8%B4%B4%E7%94%BB/,malware
http://9779.info/%E5%B9%BC%E5%84%BF%E7%B2%BD%E5%8F%B6%E8%B4%B4%E7%94%BB/,malware
http://grasslandhotel.com.vn/index.php/component/djcatalog2/items/6-services,malware
http://9779.info/%E4%BA%94%E8%B0%B7%E6%9D%82%E7%B2%AE%E4%BA%BA%E7%89%A9%E7%B2%98%E8%B4%B4%E7%94%BB/,malware
http://9779.info/%E6%AF%9B%E7%BA%BF%E8%B4%B4%E7%94%BB%20%E5%9C%BA%E6%99%AF%E5%9B%BE/,malware
trtsport.cz,malware
http://style.org.hc360.com/css/detail/mysite/siteconfig/pro_control.css,malware
http://img14.360buyimg.com/n12/g12/M00/07/06/rBEQYVGV9NMIAAAAAAC3mn17ud8AABZ_wDjtTAAALey000.jpg%21q70.jpg,malware
http://9779.info/%E6%89%8B%E5%B7%A5%E6%B2%BE%E8%B4%B4%E7%94%BB%E5%9B%BE%E7%89%87/,malware
microencapsulation.readmyweather.com,malware
http://www.vilagnomad.com/tables/payday-loans-direct-lenders-only.php,malware
xo3fhvm5lcvzy92q.download,malware
http://www.wu8188.com/cl/tpl/five-star/ver1/css/five-star.css?v=ver15.32,malware
http://9779.info/%E5%B9%BC%E5%84%BF%E5%9B%AD%E7%9A%B1%E7%BA%B9%E7%BA%B8%E7%B2%98%E8%B4%B4%E7%94%BB/,malware
http://ak.imgfarm.com/images/nocache/vicinio/installers/205320000.S10570.1/507981-150710122501-S10570.1/VideoDownloadConvertAuto.exe_0,malware
http://www.0068555.com/cl/?module=System&method=LiveTop&args=livehall,malware
http://www.easycaptchas.com/2F3F28039730C12A5C112FE0D5FEFA2E.captcha?width=132&height=42,malware
ru-net.cv.ua/wp-content/config/file.php,malware
proplast.co.nz,malware
http://9779.info/%E4%BA%94%E8%B0%B7%E6%9D%82%E7%B2%AE%E4%BA%BA%E7%89%A9%E7%B2%98%E8%B4%B4%E7%94%BB/,malware
http://haishundl.com/a/qinpengqipaiguanfangxiazai/20131019/263.html,malware
http://9779.info/%E5%8D%8A%E7%AB%8B%E4%BD%93%E5%B9%BC%E5%84%BF%E5%89%AA%E8%B4%B4%E7%94%BB/,malware
http://9779.info/%E9%A3%9E%E6%9C%BA%E6%A0%91%E5%8F%B6%E7%B2%98%E8%B4%B4%E7%94%BB/,malware
http://9779.info/%E5%85%AD%E4%B8%80%E5%BF%AB%E4%B9%90%E7%B2%98%E8%B4%B4%E7%94%BB/,malware
http://zoetekroon.nl/wp-content/themes/simplo/js/jquery-1.4.2.min.js,malware
http://3cf.ru/2015/07/20/cb-otozval-licenziu-y-gelendjik-banka/,malware
http://9779.info/%E5%B0%91%E5%84%BF%E7%A7%8D%E5%AD%90%E7%B2%98%E8%B4%B4%E7%94%BB/,malware
http://img010.hc360.cn/g1/M01/41/73/wKhQMVHabJKEHondAAAAAFmPcEE181.jpg,malware
http://9779.info/%E8%9D%8C%E8%9A%AA%E6%89%BE%E5%A6%88%E5%A6%88%E5%89%AA%E8%B4%B4%E7%94%BB/,malware
http://www.newstudy.net/community/Web_nMngr.aspx?acaidx=0&board_idx=360&pn=1&sflag=1&mflag=NOT&where=&keyword=,malware
http://www.711100.com/app/member/SportOption.php?uid=guest&langx=gb,malware
http://schertzauto.com/wp-content/plugins/gravityforms/css/formsmain.min.css?ver=1.9.11,malware
http://portal.dddgaming.com/docs/rules/15022/cn/game_cn.html?amluMjAxNQ%3D%3D,malware
http://schertzauto.com/wp-content/themes/NAPA%20AC%202014%20S/genericons/genericons.css?ver=3.0.2,malware
http://www.bhxx.net/xxgl/UploadFiles_7485/201304/2013042315380148.jpg,malware
http://grasslandhotel.com.vn/index.php/rooms/item/all/18-airticketservices,malware
socialsocietyedu.com/components/com_wa/config.bin,malware
http://3cf.ru/2015/07/20/stroitelstvo-energomosta-v-krym-oboidetsia-v-47-mlrd-ryb/,malware
http://9779.info/%E5%84%BF%E7%AB%A5%E5%BD%A9%E7%BA%BF%E8%B4%B4%E7%94%BB/,malware
http://chinacxyy.com/newscodejs.asp?lm2=201&list=9&icon=0&tj=0&font=10.5&hot=0&new=0&line=24&lmname=0&open=1&n=34&more=0&t=0&week=0&zzly=0&hit=0&pls=0&dot=0&tcolor=CCCCCC,malware
http://9779.info/%E5%B9%BC%E5%84%BF%E5%9B%AD%E6%89%8B%E5%B7%A5%E7%B2%98%E8%B4%B4%E7%94%BB%E6%95%99%E6%A1%88/,malware
http://www.xj9599.com/app/member/cps.php?uid=f554ab9b50d41d8cd98fra3&pages=cp,malware
http://www.824555.com/app/member/SportOption.php?uid=guest&langx=gb,malware
http://www.pubyun.com/wiki/lib/exe/css.php?t=dokuwiki&tseed=f1f16e8c6142fab8553f2b9cfe045961,malware
sunusa.in,malware
http://www.jin0044.com/app/member/main.php?uid=guest&langx=zh-cn&page_site=ball,malware
http://9779.info/%E5%B8%83%E8%B4%B4%E7%94%BB%E5%9B%BE%E7%89%87%E5%A4%A7%E5%85%A8%E7%AE%80%E5%8D%95/,malware
http://chinacxyy.com/newscodejs.asp?lm2=201&list=9&icon=0&tj=0&font=10.5&hot=0&new=0&line=24&lmname=0&open=1&n=34&more=0&t=0&week=0&zzly=0&hit=0&pls=0&dot=0&tcolor=CCCCCC,malware
http://13801993263.com/wp-content/themes/glossy-stylo/style.css?ver=4.2.2,malware
http://9779.info/%E5%84%BF%E7%AB%A5%E5%9B%BE%E5%BD%A2%E7%B2%98%E8%B4%B4%E7%94%BB/,malware
http://chinesevie.com/index.php?option=com_contact&view=contact&id=1&Itemid=57&lang=en,malware
http://troikacapital.ru/novye_formy_registratsii_uridicheskih_lits_i_ip,malware
http://i3.17173cdn.com/2fhnvk/YWxqaGBf/outcms/DijOlXbjzmshgAC.jpg,malware
christinelebeck.com,malware
http://www.vilagnomad.com/tables/signature-loans-no-credit-check.php,malware
http://9779.info/%E6%BC%82%E4%BA%AE%E7%9A%84%E6%92%95%E8%B4%B4%E7%94%BB/,malware
http://9779.info/%E7%A2%8E%E5%B8%83%E5%A4%B4%E5%88%B6%E4%BD%9C%E8%B4%B4%E7%94%BB%E5%9B%BE%E8%A7%A3/,malware
tavaresmovelaria.com,malware
http://netdna.bootstrapcdn.com/font-awesome/4.2.0/css/font-awesome.min.css,malware
http://youkuedu.com/index.php/campus-display/13-2013-12-19-11-19-32,malware
http://9779.info/%E5%88%9D%E4%B8%AD%E7%94%BB%E7%9A%84%E5%AE%89%E5%85%A8%E6%89%8B%E6%8A%84%E6%8A%A5/,malware
http://9779.info/%E7%BA%A2%E7%BB%BF%E8%93%9D%E7%9A%B1%E7%BA%B9%E7%BA%B8%E7%B2%98%E8%B4%B4%E7%94%BB/,malware
http://www.js182.com/app/member/SportOption.php?uid=guest&langx=gb,malware
http://znsv.baidu.com/customer_search/api/js?sid=14553675342420242144,malware
http://www.pubyun.com/wiki/lib/exe/js.php?tseed=f1f16e8c6142fab8553f2b9cfe045961,malware
http://9779.info/%E5%85%B3%E4%BA%8E%E6%85%88%E7%88%B1%E7%B2%98%E8%B4%B4%E7%94%BB/,malware
http://grasslandhotel.com.vn/index.php/tours/danangtours/items/fbtrack.js,malware
http://9779.info/%E5%85%AD%E4%B8%80%E5%84%BF%E7%AB%A5%E6%8B%BC%E8%B4%B4%E7%94%BB/,malware
http://3cf.ru/2015/07/21/hokkei-vladislav-tretiak-vydvinem-rotenberga-na-post-predsedatelia-pravleniia-fhr/,malware
http://9779.info/%E5%89%AA%E8%B4%B4%E7%94%BB%E5%9B%BE%E7%89%87%E5%A4%A7%E5%85%A8/,malware
http://grasslandhotel.com.vn/index.php/tours/culaochamtours/items/fbtrack.js,malware
http://9779.info/%E7%9A%B1%E7%BA%B9%E7%BB%B3%E7%B2%98%E8%B4%B4%E7%94%BB/,malware
http://9779.info/%E8%A5%BF%E7%93%9C%E5%AD%90%E7%9A%AE%E6%8B%BC%E8%B4%B4%E7%94%BB/,malware
http://hotlinegsm.com/products/mobile-and-tablet/apple-iphone-4-detail,malware
http://www.xj9599.com/app/member/indexs.php?path=pages&pages=help&uid=f554ab9b50d41d8cd98fra3,malware
http://www3.upweb.net/peradmin/htmlfile/xc0602/200712130927571105679.JPG,malware
http://hotlinegsm.com/products/mobile-and-tablet/nokia-asha-302-detail,malware
http://www.xpj5988.com/pages/novice/register.htm;jsessionid=A77C20A90C6790855CB2882AD06183ED,malware
dr-menschick.at,malware
http://9779.info/%E8%B1%86%E5%AD%90%E7%B2%98%E8%B4%B4%E7%94%BB%E7%94%A8%E4%BB%80%E4%B9%88%E7%B2%98/,malware
http://9779.info/%E4%BA%B2%E5%AD%90%E6%AF%9B%E7%BA%BF%E8%B4%B4%E7%94%BB/,malware
http://9779.info/%E5%B9%BF%E5%91%8A%E6%8B%9B%E8%B4%B4%E7%94%BB%E7%8E%AF%E4%BF%9D%E5%9B%BE%E7%89%87/,malware
http://golfsource.us/index.php?option=com_content&view=article&id=7&Itemid=1,malware
http://host66.hostmonster.com/suspended.page/disabled.cgi/cf-host.com,malware
https://c...content-available-to-author-only...e.org/search?q=,malware
chronic.com.hk,malware
http://haishundl.com/a/qinpengqipaiguanfangxiazai/20131014/226.html,malware
http://9779.info/%E5%89%AA%E8%B4%B4%E7%94%BB%E5%A9%9A%E7%BA%B1/,malware
http://www.js182.com/app/member/SportOption.php?uid=guest&langx=gb,malware
safety.apple.com.nlmalhmcvw.dwkummyh8ndpdenj.trade,malware
http://shicaifanxin.cn/index.php?s=video/search/wd/%E5%BE%97%E5%BE%97%E7%88%B1,malware
http://9779.info/%E6%A0%91%E5%8F%B6%E8%B4%B4%E7%94%BB%E4%BD%9C%E5%93%81/,malware
http://www.thereefrestaurant.com/wp-content/plugins/wp-lightbox-2/styles/lightbox.min.css?ver=1.3.4,malware
br-icloud.com.br,phishing
signin.eby.de.zukruygxctzmmqi.civpro.co.za,phishing
http://www.marketingbyinternet.com/mo/e56508df639f6ce7d55c81ee3fcd5ba8/,phishing
https://docs.google.com/spreadsheet/viewform?formkey=dGg2Z1lCUHlSdjllTVNRUW50TFIzSkE6MQ,phishing
retajconsultancy.com,phishing
http://www.martin-busker.de/administrator/help/en-GB/css/Facture/c4d12146ebce8e1684d3542308399779/8fa39dab95edb1b676b638a672278eae/particuliers-45636.php,phishing
alexpay2.beget.tech,phishing
facebook.unitedcolleges.net,phishing
http://www.bimabn.com/1-configurazione-supporto-apple.store-contatta/c/Apple-id/3d465e25b47e6bc23ae55f5de40e1bb1/,phishing
halkbankparaf-para.com,phishing
